patient_id,dataset,is_lesion,fg_voxels,fg_pct,bbox_size,dist_to_center
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,52186,1.244211196899414,0,84.55785201569584
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,3923,0.09353160858154297,0,127.59001932045972
Unknown,Unknown,True,46387,1.105952262878418,0,24.68674835991941
Unknown,Unknown,True,6032,0.1438140869140625,0,21.62202718807957
Unknown,Unknown,True,19029,0.4536867141723633,0,96.78999814372503
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,1336,0.03185272216796875,0,93.535771572268
Unknown,Unknown,True,3163,0.07541179656982422,0,118.18627319019122
Unknown,Unknown,True,1548,0.036907196044921875,0,10.730474101419542
Unknown,Unknown,True,515,0.012278556823730469,0,35.84296952016866
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,145312,3.464508056640625,0,82.48266510111864
Unknown,Unknown,True,6036,0.14390945434570312,0,68.8962422566649
Unknown,Unknown,True,2487,0.059294700622558594,0,66.62212665419828
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,71701,1.7094850540161133,0,96.44650857756038
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,5011,0.11947154998779297,0,20.60400627286101
Unknown,Unknown,True,1590,0.03790855407714844,0,17.43963770528443
Unknown,Unknown,True,108,0.002574920654296875,0,105.92538830270735
Unknown,Unknown,True,17026,0.4059314727783203,0,86.68022549680161
Unknown,Unknown,True,29278,0.6980419158935547,0,27.009384320488046
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,40511,0.9658575057983398,0,72.08345617458644
Unknown,Unknown,True,116,0.002765655517578125,0,143.12126951164086
Unknown,Unknown,True,3371,0.08037090301513672,0,20.51861254012183
Unknown,Unknown,True,42614,1.0159969329833984,0,15.821630585996834
Unknown,Unknown,True,4903,0.1168966293334961,0,82.87996242262899
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,46754,1.1147022247314453,0,20.20670804206136
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,4553,0.1085519790649414,0,48.18687034008676
Unknown,Unknown,True,9194,0.21920204162597656,0,68.67383743569091
Unknown,Unknown,True,4039,0.0962972640991211,0,115.23686301942801
Unknown,Unknown,True,15820,0.3771781921386719,0,23.10082781999069
Unknown,Unknown,True,39529,0.9424448013305664,0,52.54924601615909
Unknown,Unknown,True,9513,0.2268075942993164,0,20.798549115765013
Unknown,Unknown,True,2800,0.0667572021484375,0,16.91307931374208
Unknown,Unknown,True,27740,0.6613731384277344,0,30.872210313666184
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,True,30219,0.7204771041870117,0,5.857819345697415
Unknown,Unknown,True,17316,0.4128456115722656,0,69.62297851766219
Unknown,Unknown,False,0,0.0,0,
Unknown,Unknown,False,0,0.0,0,
